repo_name,has_readme,has_title,has_description,has_installation,has_usage,has_contributing,has_license,missing_sections,srs_exists
Anywhere_Zendesk_API,True,True,True,False,True,False,False,"installation,contributing,license",False
AutomateFlash,True,True,True,True,True,False,False,"contributing,license",False
LC-sportsday,True,True,True,True,True,False,False,"contributing,license",False
LE_Chatbot_backend,True,True,True,False,False,True,True,"installation,usage",False
LE_Chatbot_frontend,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
LE_Projector_DonorBoard,True,True,True,False,True,True,True,installation,False
LE_Projector_DonorBoard_Backend,True,True,True,True,True,True,False,license,False
LE_Projector_DonorBoard_Frontend,True,False,True,True,True,True,False,"title,license",False
LE_Read_FileVDO,True,True,True,True,True,False,False,"contributing,license",False
LE_VDO_Reconcilation,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
LOL_Assessment,True,True,True,True,True,True,True,none,False
LineNotificationLE,True,True,True,False,False,False,False,"installation,usage,contributing,license",False
OD_Asset_Tracking_App,True,True,True,True,False,True,False,"usage,license",False
OND_Asset_Tracking_CLI,True,True,True,True,False,False,False,"usage,contributing,license",False
OND_Asset_Tracking_PWA,True,True,True,False,True,True,False,"installation,license",False
OND_Asset_Tracking_Service,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
RBAC-awx-project,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SA-TA-Booking,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-B2B-AMT,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-CURRENT_TERM,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-CUSTOMER-DEPT-TRACKING,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-CUSTOMER_AR_AP,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-INVENTORY_AGING,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-JIRA-GW,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-LEARNCRAFT,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
